Instance,Type,Dimension,Time,Cost,Deviation
B-n34-k5.vrp,B,34,13.08,804.37,2.08
B-n45-k5.vrp,B,45,15.44,808.02,7.59
B-n64-k9.vrp,B,64,21.53,1025.3,19.08
B-n68-k9.vrp,B,68,22.16,1360.46,6.95
B-n38-k6.vrp,B,38,14.1,842.93,4.71
B-n45-k6.vrp,B,45,15.92,728.56,7.46
B-n57-k7.vrp,B,57,18.98,1253.92,8.75
B-n67-k10.vrp,B,67,22.35,1237.38,19.9
B-n66-k9.vrp,B,66,22.13,1408.99,7.07
B-n50-k8.vrp,B,50,17.82,1355.89,3.35
B-n51-k7.vrp,B,51,17.78,1159.08,12.31
B-n43-k6.vrp,B,43,15.15,773.91,4.3
B-n41-k6.vrp,B,41,14.95,838.61,1.16
B-n44-k7.vrp,B,44,16.02,976.84,7.46
B-n56-k7.vrp,B,56,18.44,765.16,8.23
B-n35-k5.vrp,B,35,13.25,1034.26,8.3
B-n78-k10.vrp,B,78,26.22,1429.06,17.04
B-n39-k5.vrp,B,39,13.81,591.02,7.65
B-n50-k7.vrp,B,50,17.33,796.2,7.45
B-n52-k7.vrp,B,52,17.63,841.63,12.67
B-n63-k10.vrp,B,63,22.25,1615.61,8.0
B-n57-k9.vrp,B,57,19.61,1763.71,10.37
B-n31-k5.vrp,B,31,12.14,680.24,1.23
