Instance,Type,Dimension,Time,Cost,Deviation
P-n16-k8.vrp,P,16,10.08,451.34,0.3
P-n60-k15.vrp,P,60,23.25,1057.28,9.22
P-n70-k10.vrp,P,70,23.72,908.9,9.9
P-n60-k10.vrp,P,60,21.41,801.68,7.75
P-n101-k4.vrp,P,101,28.48,911.44,33.84
P-n76-k5.vrp,P,76,23.26,794.87,26.77
P-n40-k5.vrp,P,40,14.23,508.46,11.02
P-n76-k4.vrp,P,76,21.73,762.74,28.62
P-n55-k15.vrp,P,55,22.92,1011.98,2.32
P-n21-k2.vrp,P,21,8.44,218.81,3.7
P-n50-k7.vrp,P,50,17.02,603.74,8.98
P-n55-k10.vrp,P,55,19.64,766.15,10.4
P-n19-k2.vrp,P,19,8.17,219.75,3.66
P-n55-k8.vrp,P,55,18.33,659.97,12.24
P-n50-k8.vrp,P,50,18.03,694.3,10.03
P-n55-k7.vrp,P,55,18.17,643.14,13.23
P-n50-k10.vrp,P,50,18.97,731.38,5.08
P-n51-k10.vrp,P,51,19.17,867.04,17.01
P-n23-k8.vrp,P,23,12.42,531.17,0.41
P-n45-k5.vrp,P,45,15.2,579.14,13.56
P-n20-k2.vrp,P,20,8.4,217.42,0.66
P-n65-k10.vrp,P,65,21.96,917.42,15.84
P-n22-k2.vrp,P,22,8.77,223.53,3.49
